County,1980_pop,1990_pop,2000_pop,2010_pop,2020_pop,Median_Household_Income,Unemployment_Rate,Urban_Percent,Rural_Percent,40_year_growth,30_year_growth,20_year_growth,10_year_growth,Growth_Rank,Urban_Rank
Adair,9509,8409,8243,7682,7496,87135,3.9,0.00%,100.00%,-21.169418445683036,-10.85741467475324,-9.062234623316753,-2.421244467586566,54,63
Adams,5731,4866,4482,4029,3704,82639,4.2,0.00%,100.00%,-35.369045541790264,-23.8799835593917,-17.358322177599288,-8.066517746339041,95,63
Allamakee,15108,13855,14675,14330,14061,77754,3.2,0.00%,100.00%,-6.930103256552819,1.486827859978347,-4.1839863713798975,-1.8771807397069087,46,63
Appanoose,15511,13743,13721,12887,12317,60169,6.1,42.80%,57.20%,-20.591838050415834,-10.376191515680711,-10.232490343269442,-4.423062000465586,73,41
Audubon,8559,7334,6830,6119,5674,75473,0.7,0.00%,100.00%,-33.70720878607314,-22.634305972184347,-16.925329428989752,-7.272430135643079,94,63
Benton,23649,22429,25308,26076,25575,95589,2.3,18.70%,81.30%,8.144107573258912,14.026483570377636,1.0550023707918446,-1.921306948918546,47,60
Black Hawk,137961,123798,128012,131090,131144,83292,5.2,87.00%,13.00%,-4.941251513108777,5.933859997738251,2.4466456269724715,0.04119307346098101,29,2
Boone,26184,25186,26224,26306,26715,97936,1.3,46.80%,53.20%,2.027956003666361,6.070833002461685,1.8723306894447833,1.554778377556451,24,37
Bremer,24820,22813,23325,24276,24988,98823,3.2,36.70%,63.30%,0.676873489121676,9.534037610134574,7.129689174705252,2.932937881034767,17,47
Buchanan,22900,20844,21093,20958,20565,86875,3.0,32.90%,67.10%,-10.19650655021834,-1.3385146804835923,-2.5032001137818236,-1.8751789292871457,45,51
Buena Vista,20774,19965,20411,20260,20823,87475,5.0,57.00%,43.00%,0.23587176278039856,4.297520661157025,2.0185194257998136,2.7788746298124383,19,25
Butler,17668,15731,15305,14867,14334,80578,3.9,0.00%,100.00%,-18.870273941589314,-8.880554319496534,-6.344331917673962,-3.58512140983386,66,63
Calhoun,13542,11508,11115,9670,9927,79333,2.7,0.00%,100.00%,-26.694727514399645,-13.738269030239833,-10.688259109311742,2.65770423991727,20,63
Carroll,22951,21423,21421,20816,20760,90243,1.9,48.90%,51.10%,-9.54642499237506,-3.094804649208794,-3.085756967461837,-0.2690238278247502,32,36
Cass,16932,15128,14684,13956,13127,83435,1.4,50.30%,49.70%,-22.472241908811718,-13.227128503437335,-10.603377826205394,-5.940097449125823,86,34
Cedar,18635,17381,18187,18499,18505,94132,3.0,0.00%,100.00%,-0.697612020391736,6.466831597721651,1.7485016770220487,0.03243418563165577,31,63
Cerro Gordo,48458,46733,46447,44151,43127,85924,3.0,79.70%,20.30%,-11.001279458500145,-7.7161748657265745,-7.147932051585679,-2.3193132658376934,53,7
Cherokee,16238,14098,13035,12072,11658,90243,3.2,40.40%,59.60%,-28.205444020199533,-17.307419492126545,-10.563866513233602,-3.429423459244533,61,43
