FIPS,Area Name,1980,1990,2000,2010,2020
19000,State of Iowa,"2,913,808","2,776,755","2,926,324","3,046,355","3,190,369"
19001,Adair County,"9,509","8,409","8,243","7,682","7,496"
19003,Adams County,"5,731","4,866","4,482","4,029","3,704"
19005,Allamakee County,"15,108","13,855","14,675","14,330","14,061"
19007,Appanoose County,"15,511","13,743","13,721","12,887","12,317"
19009,Audubon County,"8,559","7,334","6,830","6,119","5,674"
19011,Benton County,"23,649","22,429","25,308","26,076","25,575"
19013,Black Hawk County,"137,961","123,798","128,012","131,090","131,144"
19015,Boone County,"26,184","25,186","26,224","26,306","26,715"
19017,Bremer County,"24,820","22,813","23,325","24,276","24,988"
19019,Buchanan County,"22,900","20,844","21,093","20,958","20,565"
19021,Buena Vista County,"20,774","19,965","20,411","20,260","20,823"
19023,Butler County,"17,668","15,731","15,305","14,867","14,334"
19025,Calhoun County,"13,542","11,508","11,115","9,670","9,927"
19027,Carroll County,"22,951","21,423","21,421","20,816","20,760"
19029,Cass County,"16,932","15,128","14,684","13,956","13,127"
19031,Cedar County,"18,635","17,381","18,187","18,499","18,505"
19033,Cerro Gordo County,"48,458","46,733","46,447","44,151","43,127"
19035,Cherokee County,"16,238","14,098","13,035","12,072","11,658"
19037,Chickasaw County,"15,437","13,295","13,095","12,439","12,012"
19039,Clarke County,"8,612","8,287","9,133","9,286","9,748"
19041,Clay County,"19,576","17,585","17,372","16,667","16,384"
19043,Clayton County,"21,098","19,054","18,678","18,129","17,043"
19045,Clinton County,"57,122","51,040","50,149","49,116","46,460"
19047,Crawford County,"18,935","16,775","16,942","17,096","16,525"
19049,Dallas County,"29,513","29,755","40,750","66,135","99,678"
19051,Davis County,"9,104","8,312","8,541","8,753","9,110"
19053,Decatur County,"9,794","8,338","8,689","8,457","7,645"
19055,Delaware County,"18,933","18,035","18,404","17,764","17,488"
19057,Des Moines County,"46,203","42,614","42,351","40,325","38,910"
19059,Dickinson County,"15,629","14,909","16,424","16,667","17,703"
19061,Dubuque County,"93,745","86,403","89,143","93,653","99,266"
19063,Emmet County,"13,336","11,569","11,027","10,302","9,388"
19065,Fayette County,"25,488","21,843","22,008","20,880","19,509"
19067,Floyd County,"19,597","17,058","16,900","16,303","15,627"
19069,Franklin County,"13,036","11,364","10,704","10,680","10,019"
19071,Fremont County,"9,401","8,226","8,010","7,441","6,605"
19073,Greene County,"12,119","10,045","10,366","9,336","8,771"
19075,Grundy County,"14,366","12,029","12,369","12,453","12,329"
19077,Guthrie County,"11,983","10,935","11,353","10,954","10,623"
19079,Hamilton County,"17,862","16,071","16,438","15,673","15,039"
19081,Hancock County,"13,833","12,638","12,100","11,341","10,795"
19083,Hardin County,"21,776","19,094","18,812","17,534","16,878"
19085,Harrison County,"16,348","14,730","15,666","14,928","14,582"
19087,Henry County,"18,890","19,226","20,336","20,145","20,482"
19089,Howard County,"11,114","9,809","9,932","9,566","9,469"
19091,Humboldt County,"12,246","10,756","10,381","9,815","9,597"
19093,Ida County,"8,908","8,365","7,837","7,089","7,005"
19095,Iowa County,"15,429","14,630","15,671","16,355","16,662"
19097,Jackson County,"22,503","19,950","20,296","19,848","19,485"
19099,Jasper County,"36,425","34,795","37,213","36,842","37,813"
19101,Jefferson County,"16,316","16,310","16,181","16,843","15,663"
19103,Johnson County,"81,717","96,119","111,006","130,882","152,854"
19105,Jones County,"20,401","19,444","20,221","20,638","20,646"
19107,Keokuk County,"12,921","11,624","11,400","10,511","10,033"
19109,Kossuth County,"21,891","18,591","17,163","15,543","14,828"
19111,Lee County,"43,106","38,687","38,052","35,862","33,555"
19113,Linn County,"169,775","168,767","191,701","211,226","230,299"
19115,Louisa County,"12,055","11,592","12,183","11,387","10,837"
19117,Lucas County,"10,313","9,070","9,422","8,898","8,634"
19119,Lyon County,"12,896","11,952","11,763","11,581","11,934"
19121,Madison County,"12,597","12,483","14,019","15,679","16,548"
19123,Mahaska County,"22,867","21,522","22,335","22,381","22,190"
