County,Urban Percent,Rural Percent
Adair County,0.00%,100.00%
Adams County,0.00%,100.00%
Allamakee County,0.00%,100.00%
Appanoose County,42.80%,57.20%
Audubon County,0.00%,100.00%
Benton County,18.70%,81.30%
Black Hawk County,87.00%,13.00%
Boone County,46.80%,53.20%
Bremer County,36.70%,63.30%
Buchanan County,32.90%,67.10%
Buena Vista County,57.00%,43.00%
Butler County,0.00%,100.00%
Calhoun County,0.00%,100.00%
Carroll County,48.90%,51.10%
Cass County,50.30%,49.70%
Cedar County,0.00%,100.00%
Cerro Gordo County,79.70%,20.30%
Cherokee County,40.40%,59.60%
Chickasaw County,0.00%,100.00%
Clarke County,54.20%,45.80%
Clay County,66.90%,33.10%
Clayton County,0.90%,99.10%
Clinton County,69.90%,30.10%
Crawford County,49.30%,50.70%
Dallas County,78.70%,21.30%
Davis County,0.00%,100.00%
Decatur County,0.00%,100.00%
Delaware County,28.10%,71.90%
Des Moines County,73.00%,27.00%
Dickinson County,73.20%,26.80%
Dubuque County,68.30%,31.70%
Emmet County,61.50%,38.50%
Fayette County,30.10%,69.90%
Floyd County,46.40%,53.60%
Franklin County,0.00%,100.00%
Fremont County,0.10%,99.90%
Greene County,0.00%,100.00%
Grundy County,0.00%,100.00%
Guthrie County,0.00%,100.00%
Hamilton County,50.60%,49.40%
Hancock County,0.00%,100.00%
Hardin County,30.00%,70.00%
Harrison County,0.00%,100.00%
Henry County,45.30%,54.70%
Howard County,0.00%,100.00%
Humboldt County,55.60%,44.40%
Ida County,0.00%,100.00%
Iowa County,0.00%,100.00%
Jackson County,31.30%,68.70%
Jasper County,42.20%,57.80%
Jefferson County,58.80%,41.20%
Johnson County,83.30%,16.70%
Jones County,26.20%,73.80%
Keokuk County,0.00%,100.00%
Kossuth County,36.70%,63.30%
Lee County,59.10%,40.90%
Linn County,86.30%,13.70%
Louisa County,0.00%,100.00%
Lucas County,0.00%,100.00%
Lyon County,0.00%,100.00%
Madison County,30.70%,69.30%
Mahaska County,56.50%,43.50%
Marion County,53.00%,47.00%
Marshall County,68.30%,31.70%
Mills County,34.60%,65.40%
Mitchell County,0.00%,100.00%
Monona County,0.00%,100.00%
Monroe County,0.00%,100.00%
Montgomery County,53.40%,46.60%
Muscatine County,58.20%,41.80%
O'Brien County,36.20%,63.80%
Osceola County,0.00%,100.00%
Page County,66.20%,33.80%
Palo Alto County,0.00%,100.00%
Plymouth County,39.50%,60.50%
Pocahontas County,0.00%,100.00%
Polk County,95.50%,4.50%
Pottawattamie County,73.10%,26.90%
Poweshiek County,50.80%,49.20%
Ringgold County,0.00%,100.00%
Sac County,0.00%,100.00%
Scott County,86.70%,13.30%
Shelby County,40.10%,59.90%
Sioux County,43.40%,56.60%
Story County,74.20%,25.80%
Tama County,30.70%,69.30%
Taylor County,0.00%,100.00%
Union County,61.80%,38.20%
Van Buren County,0.00%,100.00%
Wapello County,70.60%,29.40%
Warren County,52.90%,47.10%
Washington County,30.30%,69.70%
Wayne County,0.00%,100.00%
Webster County,66.80%,33.20%
Winnebago County,0.00%,100.00%
Winneshiek County,39.80%,60.20%
Woodbury County,83.90%,16.10%
Worth County,0.00%,100.00%
Wright County,0.00%,100.00%
